text,label
Refactor legacy code task #4937,Low
إجراء نسخ احتياطي لقاعدة البيانات رقم 34,Low
Plan for team outing task #4832,High
اجتماع الفريق الأسبوعي رقم 1449,Medium
نشر التحديثات الجديدة على السيرفر رقم 304,High
مراجعة الكود للميزة الجديدة رقم 2004,Low
Prepare monthly KPI dashboard task #1254,Medium
متابعة الفاتورة مع المورد رقم 421,Medium
الرد على استفسارات العملاء رقم 4602,High
نشر التحديثات الجديدة على السيرفر رقم 4702,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 1426,Medium
Handle customer refund request task #3064,Medium
Respond to client complaints immediately task #4572,Medium
شراء مستلزمات المكتب رقم 615,Low
Weekly team sync task #1831,High
Set up monitoring alerts task #1355,Medium
Plan for team outing task #3889,Medium
Plan for team outing task #436,Medium
Daily standup notes task #2836,High
تنظيم تدقيق ربعي رقم 313,Medium
Refactor legacy code task #3880,Medium
جدولة إجازة رقم 1493,Medium
Prepare monthly KPI dashboard task #1888,High
تحضير عرض تقديمي للاجتماع رقم 4004,Low
جدولة إجازة رقم 4485,Medium
مراجعة الكود للميزة الجديدة رقم 3545,Medium
تصحيح خطأ في بوابة الدفع رقم 63,Low
Fix production bug urgently task #61,Medium
إصلاح عاجل لمشكلة في الخادم رقم 1527,Medium
Weekly team sync task #2433,Medium
Create timeline for new project task #4878,Low
Refactor legacy code task #1321,Medium
Deploy release candidate task #1537,Medium
Plan for team outing task #1073,High
إصلاح عاجل لمشكلة في الخادم رقم 4297,Medium
التحقق من البريد الإلكتروني رقم 900,Medium
مراجعة الكود للميزة الجديدة رقم 1986,Medium
اجتماع الفريق الأسبوعي رقم 4081,Medium
Daily standup notes task #1698,Low
Team feedback session task #2971,Medium
تخطيط لحملة تسويقية رقم 4602,Medium
شراء مستلزمات المكتب رقم 3016,Medium
Refactor legacy code task #2302,High
Deploy release candidate task #954,Medium
الرد على استفسارات العملاء رقم 3958,Medium
Check emails task #624,Medium
التحقق من البريد الإلكتروني رقم 4424,Low
Fix production bug urgently task #1196,Medium
تخطيط لحملة تسويقية رقم 2342,Medium
Set up monitoring alerts task #1534,Medium
Update antivirus software task #4934,Low
Daily standup notes task #4666,High
Prepare for board meeting task #1569,High
Schedule interviews for new hires task #333,High
Prepare monthly KPI dashboard task #1105,Medium
Fix login issue reported by users task #2769,Medium
Submit annual financial report task #4680,Medium
إصلاح عاجل لمشكلة في الخادم رقم 3306,High
إصلاح عاجل لمشكلة في الخادم رقم 4441,Low
اجتماع الفريق الأسبوعي رقم 2493,Low
Schedule interviews for new hires task #735,High
Check emails task #1271,High
نشاط ترفيهي للفريق الأسبوع القادم رقم 2650,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 3117,Medium
Fix production bug urgently task #4757,Medium
Set up monitoring alerts task #2960,Medium
Daily standup notes task #3683,Medium
Respond to client complaints immediately task #3700,Medium
Book travel tickets for conference task #3995,Medium
طلب شراء أجهزة كمبيوتر جديدة رقم 2816,Medium
Refactor legacy code task #1985,High
Handle customer refund request task #1736,Medium
تصحيح خطأ في بوابة الدفع رقم 1424,Medium
Create timeline for new project task #1002,Medium
طلب شراء أجهزة كمبيوتر جديدة رقم 864,Medium
Plan for team outing task #4370,Medium
اجتماع الفريق الأسبوعي رقم 2448,Low
إجراء نسخ احتياطي لقاعدة البيانات رقم 4413,Medium
متابعة الفاتورة مع المورد رقم 4852,Medium
نشر التحديثات الجديدة على السيرفر رقم 4964,Medium
Plan for team outing task #1755,Low
Weekly team sync task #2217,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 1282,High
طلب شراء أجهزة كمبيوتر جديدة رقم 4116,Medium
تحديث أمني هام جداً رقم 298,High
Fix login issue reported by users task #1782,Medium
Daily standup notes task #975,High
تحديث مستندات المشروع رقم 2659,Medium
Order new printers task #698,Medium
Prepare for board meeting task #1997,Medium
اجتماع الفريق الأسبوعي رقم 3599,Low
Handle customer refund request task #4949,Low
Fix login issue reported by users task #1911,Low
Weekly team sync task #3554,Low
تحضير عرض تقديمي للاجتماع رقم 3022,Low
إرسال التقرير النهائي غداً رقم 3377,High
إرسال التقرير النهائي غداً رقم 2127,High
Check emails task #919,Medium
تصحيح خطأ في بوابة الدفع رقم 3484,Medium
تحديث مستندات المشروع رقم 2237,Medium
طلب شراء أجهزة كمبيوتر جديدة رقم 1340,Medium
التحقق من البريد الإلكتروني رقم 2097,Low
Set up monitoring alerts task #4536,Low
Handle customer refund request task #339,Medium
شراء مستلزمات المكتب رقم 1530,Low
تصحيح خطأ في بوابة الدفع رقم 503,Medium
نشاط ترفيهي للفريق الأسبوع القادم رقم 2249,Medium
شراء مستلزمات المكتب رقم 197,High
الرد على استفسارات العملاء رقم 3935,Low
